,0
0,0.9999999999999971
1,0.9997758372298995
2,0.9999999999625704
3,2.117317908429408e-06
4,1.0
5,5.8008088551483624e-08
6,0.009588506958612313
7,1.1749947220597162e-05
8,0.005744114598880618
9,1.0
10,0.9999949325963294
11,0.9999827570564664
12,0.999205009968891
13,0.2926327382463955
14,0.9806875360165405
15,0.9940641119774133
16,0.9859916676465419
17,0.0009785382056796002
18,1.0
19,1.0
20,0.9999911145249214
21,4.658289007552945e-08
22,0.9998550923386438
23,0.9999186727678637
24,0.010661345129002695
25,1.0
26,0.9999999999999989
27,0.9464956155337538
28,0.9984188304160463
29,0.9999977649847203
30,0.9999999666908204
31,0.9999999872857402
32,0.012026633243044572
33,0.9999999999990226
34,0.7030071510021021
35,0.9999999999999896
36,0.9999999992207838
37,0.9999999968481537
38,0.9999999999936495
39,0.9999999999999862
40,0.3658838414348829
41,5.072006848277796e-06
42,0.9999999999916662
43,0.0005500458558909507
44,0.9999935197898219
45,1.0
46,1.6680085482473085e-12
47,3.4572132798570725e-06
48,0.9998353925825955
49,0.008859194432115892
50,1.280971314759445e-07
51,1.0
52,0.9999999999979938
53,1.0
54,1.4800923738216604e-05
55,0.973968588169613
56,0.9619161220991853
57,0.9999978893541042
58,0.9993254453437691
59,0.08572538128428825
60,1.0
61,0.9999999999971643
62,0.06710942848235503
63,0.9999999869126761
64,0.9999999977768952
65,0.9999999988023238
66,0.9999999999999998
67,0.2989548246817682
68,0.9999624631325279
69,0.002658328137700067
70,3.210147549208811e-10
71,0.9999999999979541
72,1.0
73,1.0
74,0.9849687103168249
75,0.0013511867751032345
76,0.07329579353135579
77,0.999999999960939
78,0.0020002497101578327
79,0.9999998288553567
80,0.003932823349117461
81,3.247825197188317e-11
82,0.9935450542871679
83,0.8877032441305361
84,2.3383058744698824e-07
85,0.999992377705691
86,0.999999999999895
87,0.924461481238797
88,0.9999999999670506
89,0.9999904671415881
90,0.6461041900769297
91,0.02275829692166076
92,0.3859492751029689
93,0.9985351973248073
94,4.736235526091416e-05
95,0.00014627296560146448
96,0.9965916789864123
97,0.9999999999997704
98,0.9999999999999993
99,0.018345149613997223
100,0.9998825957102264
101,0.9982042259032786
102,0.02014939065714975
103,0.9999997490978164
104,0.9999999999942415
105,0.9999989077295668
106,0.9999999999923301
107,0.5407325352520673
108,0.999999183565526
109,0.9999999999693248
110,0.959808352308335
111,0.044290807217495246
112,0.6315686569695271
113,0.4694485523132703
114,0.9999999999976033
115,0.9999999998445821
116,0.9999999230441065
117,0.9999952095629508
118,0.0003758035149580847
119,0.24586349684489783
120,0.9998365077265579
121,0.999965053914575
122,0.0013558372933453737
123,1.0
124,0.9051388048427875
125,0.0007045740837984439
126,0.9999998704906886
127,0.9997087105938981
128,0.9998813241591812
129,0.9862283284561703
130,0.0061369158325850276
131,0.9999999999964495
132,2.6123610854673268e-05
133,0.7608733902632756
134,0.006920684468371291
135,0.9999999781757349
136,0.9999999999966778
137,0.39108041155106815
138,0.02633295741845755
139,6.034570728911073e-07
140,0.9999999969738167
141,1.529193714048228e-08
142,8.040487559817106e-08
143,3.0124824446159865e-08
144,0.9999999999984246
145,0.999999999999899
146,0.9999999816862047
147,0.6176179771697868
148,0.9999995902173194
149,0.11948084753497813
150,0.46528802944800324
151,0.0003170235531658898
152,0.9998659436340716
153,0.025754873688542783
154,0.002347830410294426
155,0.05972170489680083
156,0.9208686593325197
157,0.9969528088349109
158,1.1161853639328408e-09
159,0.9999999999997575
160,2.314690840648852e-05
161,0.00016749979736372912
162,0.9999999999041775
163,1.425841025769396e-07
164,0.9999999999999938
165,0.999999920741265
166,0.07005401138649588
167,0.07192595571860504
168,0.9999999999995632
169,0.9994958291528623
170,0.9999999999962261
171,0.705262302110754
172,0.9999995982800942
173,1.0
174,0.999999072555571
175,0.9999999999907532
176,0.9999999999997928
177,0.9999999752083042
178,0.0006063240109405841
179,0.9999999999882112
180,0.9999226933819924
181,0.9999994835688444
182,0.9999999999992382
183,0.999205384204975
184,6.723743136811799e-12
185,0.9999904602644663
186,0.9999999995996933
187,0.9999960294181764
188,0.9888280336416595
189,0.9999999999999418
190,8.489425521542586e-09
191,0.8394593044203873
192,0.9999941182778057
193,0.9988582254683259
194,0.011941073608718657
195,0.42679403006404915
196,0.9999999999984293
197,0.9999908332230014
198,0.08414433737039742
199,0.9999999892615533
200,0.00033083676311510153
201,0.6332051153954439
202,0.9999999999999984
203,1.5554319429264954e-06
204,0.9999978608834094
205,0.00038245861198754204
206,0.9999999965623485
207,3.971523276636751e-07
208,1.0
209,0.9670865374309402
210,0.601439332782356
211,0.9999761169842126
212,0.9996874940836937
213,0.6414389593268055
214,0.9999999999995919
215,0.0008167317346385167
216,0.9999999676524906
217,0.9999999999794411
218,0.9999999999998948
219,0.9999999999944096
220,0.9594334992831516
221,0.9999999323041441
222,1.9649326426969267e-05
223,0.004513557753302003
224,5.965985317574268e-05
